NinjaScript File,Error,Code,Line,Column,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.StopWatcher()' and 'CG_NT8_AutoDeployer_AddOn_v0_1.StopWatcher()',CS0121,80,17,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.Log(string string)',CS0121,81,17,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,87,13,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.inboxDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.inboxDir',CS0229,88,13,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,88,37,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.archiveDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.archiveDir',CS0229,89,13,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,89,39,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir',CS0229,90,13,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,90,36,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.hooksDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.hooksDir',CS0229,91,13,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,91,37,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.configDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.configDir',CS0229,92,13,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,92,38,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.strategiesDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.strategiesDir',CS0229,95,13,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.rootDir',CS0229,97,39,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.inboxDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.inboxDir',CS0229,98,39,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.archiveDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.archiveDir',CS0229,99,39,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.logsDir',CS0229,100,39,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.hooksDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.hooksDir',CS0229,101,39,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.configDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.configDir',CS0229,102,39,
