entry_time,exit_time,direction,regime,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-17 11:47:10,2025-10-17 11:47:11,long,choppy,24696.75,24699.25,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:47:35,2025-10-17 11:47:43,long,choppy,24706.5,24709.0,20.0,8,choppy_breakout_bid@24716.75,profit_target
2025-10-17 11:50:25,2025-10-17 11:50:27,long,choppy,24711.75,24710.5,-10.0,2,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:50:30,2025-10-17 11:50:42,long,choppy,24709.25,24711.75,20.0,12,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:51:45,2025-10-17 11:51:47,long,choppy,24705.25,24704.0,-10.0,2,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:51:50,2025-10-17 11:51:57,long,choppy,24704.0,24702.75,-10.0,7,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:54:55,2025-10-17 11:54:59,long,choppy,24689.75,24692.25,20.0,4,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:55:55,2025-10-17 11:55:56,long,choppy,24711.0,24713.5,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 12:22:45,2025-10-17 12:23:01,long,choppy,24791.75,24794.25,20.0,16,choppy_breakout_bid@24800.00,profit_target
2025-10-17 12:38:40,2025-10-17 12:38:42,long,choppy,24789.5,24792.0,20.0,2,choppy_breakout_bid@24800.00,profit_target
2025-10-17 12:49:10,2025-10-17 12:49:11,long,choppy,24754.0,24756.5,20.0,1,choppy_breakout_bid@24758.50,profit_target
2025-10-17 12:49:35,2025-10-17 12:49:47,long,choppy,24755.0,24757.5,20.0,12,choppy_breakout_bid@24758.50,profit_target
2025-10-17 13:01:20,2025-10-17 13:01:21,long,choppy,24742.75,24741.5,-10.0,1,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:01:25,2025-10-17 13:01:27,long,choppy,24743.0,24741.75,-10.0,2,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:05:50,2025-10-17 13:05:56,long,choppy,24738.0,24740.5,20.0,6,choppy_breakout_bid@24750.00,profit_target
2025-10-17 13:08:10,2025-10-17 13:08:29,long,choppy,24756.0,24754.75,-10.0,19,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:08:30,2025-10-17 13:08:33,long,choppy,24755.0,24757.5,20.0,3,choppy_breakout_bid@24750.00,profit_target
2025-10-17 13:11:20,2025-10-17 13:11:26,long,choppy,24768.5,24767.25,-10.0,6,choppy_breakout_bid@24780.00,stop_loss
2025-10-17 13:13:45,2025-10-17 13:14:03,long,choppy,24758.25,24757.0,-10.0,18,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:15:15,2025-10-17 13:15:16,long,choppy,24737.5,24736.25,-10.0,1,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:17:20,2025-10-17 13:17:24,long,choppy,24742.25,24744.75,20.0,4,choppy_breakout_bid@24750.00,profit_target
2025-10-17 13:17:30,2025-10-17 13:17:34,long,choppy,24743.0,24741.75,-10.0,4,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:21:40,2025-10-17 13:21:43,long,choppy,24750.25,24749.0,-10.0,3,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:21:45,2025-10-17 13:21:56,long,choppy,24746.0,24744.75,-10.0,11,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:22:00,2025-10-17 13:22:04,long,choppy,24743.75,24746.25,20.0,4,choppy_breakout_bid@24750.00,profit_target
2025-10-17 13:24:10,2025-10-17 13:24:20,long,choppy,24751.75,24750.5,-10.0,10,choppy_breakout_bid@24750.00,stop_loss
2025-10-17 13:24:35,2025-10-17 13:24:40,long,choppy,24753.0,24755.5,20.0,5,choppy_breakout_bid@24750.00,profit_target
